,drugName,average_sentiment
0,Mirtazapine,0.04326547455295736
1,Mesalamine,-3.6708860759484944e-05
2,Bactrim,-0.19506703296703298
3,Contrave,0.10233152263374484
4,Cyclafem 1 / 35,0.11832727272727271
5,Zyclara,-0.14814117647058825
6,Copper,-0.06825343320848938
7,Amitriptyline,-0.07679326818675351
8,Methadone,-0.12936583710407243
9,Levora,-0.08730235294117648
10,Paroxetine,-0.13701277842907386
11,Miconazole,-0.3204515625
12,Belviq,0.16478993377483445
13,Seroquel,0.0938785046728972
14,Ambien,0.06587415143603134
15,Nuvigil,0.20482355555555556
16,Chantix,0.3121031322505801
17,Microgestin Fe 1 / 20,-0.06934594594594594
18,Klonopin,-0.12102386980108498
19,Ciprofloxacin,-0.28279121338912133
20,Trazodone,0.05067597484276729
21,EnteraGam,0.07913333333333333
22,Aripiprazole,0.02094195488721805
23,Cyclosporine,-0.044026785714285706
24,Oxybutynin,0.11897417840375586
25,Lurasidone,0.0222188559322034
26,Clonazepam,-0.10657565445026179
27,Ciclopirox,0.24845217391304344
28,Sodium oxybate,0.16059459459459458
29,Lamotrigine,0.0030334183673469384
30,Blisovi Fe 1 / 20,-0.20639999999999997
31,Ivermectin,0.17320081967213116
32,Suprep Bowel Prep Kit,0.01963457249070631
33,Movantik,-0.3281118518518519
34,Lorcaserin,0.1668808785529716
35,Actos,-0.07387931034482759
36,Duloxetine,-0.27737611464968154
37,NuvaRing,0.06647397094430993
38,Escitalopram,-0.11652690326273611
39,Tesamorelin,-0.15694000000000002
40,Campral,0.3668385245901639
41,Gabapentin,-0.14666770318021202
42,Levonorgestrel,-0.1251950304259635
43,Aubra,-0.11843090909090909
44,Plan B One-Step,-0.13850958408679928
45,Ethinyl estradiol / etonogestrel,0.0676994011976048
46,Microgestin Fe 1.5 / 30,-0.13356363636363638
47,Wellbutrin,-0.0350831234256927
48,Benzoyl peroxide / clindamycin,0.341872905027933
49,Etonogestrel,-0.041447704139335
50,Nitrofurantoin,-0.31767609022556387
51,Ortho Tri-Cyclen Lo,0.004683392226148409
52,Tamsulosin,-0.11121111111111112
53,Tofacitinib,-0.2749675675675676
54,Cryselle,-0.2396091666666667
55,Amphetamine / dextroamphetamine,0.2116712204007286
56,Clindamycin,-0.29148176470588233
57,Pramipexole,-0.058072592592592585
58,Skyla,-0.1931581784386617
59,Lastacaft,0.264925
60,Effexor XR,-0.18998409961685825
61,Nifedipine,-0.13162096774193546
62,Afrezza,0.2439462962962963
63,Zoloft,-0.15285948434622468
64,Ziprasidone,-0.09391880000000001
65,Ethinyl estradiol / norethindrone,-0.07068729016786571
66,Sertraline,-0.15884914346895077
67,Aluminum chloride hexahydrate,0.2244006833712984
68,ParaGard,-0.08952161100196465
69,Pregabalin,-0.17887741545893723
70,Ethinyl estradiol / levonorgestrel,-0.05970918897323213
71,Ultram,-0.21530502512562816
72,Phentermine,0.24414604316546762
73,Venlafaxine,-0.19115388639760839
74,BuSpar,-0.21556849710982662
75,Acetaminophen / hydrocodone,-0.21897565597667637
76,Aviane,-0.04961366279069768
77,Inderal,-0.0961066666666667
78,Promethazine,0.07204213483146069
79,Tioconazole,-0.18161406727828747
80,Orthovisc,-0.11851067961165049
81,Implanon,0.031139907038512615
82,Marezine,0.1059166666666667
83,Minoxidil,0.00870263157894738
84,Humira,-0.02780478723404255
85,"Insulin inhalation, rapid acting",0.2514551724137931
86,Phenazopyridine,-0.08927553191489361
87,Clonidine,0.04616624685138539
88,Ethinyl estradiol / norgestimate,-0.08884383512544804
89,Nicoderm CQ,0.43292380952380954
90,Celecoxib,-0.26802317880794707
91,Fluoxetine,-0.13281078140454997
92,Topamax,-0.1599323660714286
93,Depakote,0.0881622448979592
94,Riboflavin,-0.07556000000000003
95,Lo Loestrin Fe,0.016631400437636765
96,Drospirenone / estradiol,0.16186499999999998
97,Bupropion,0.027734696859021184
98,Bacitracin / neomycin / polymyxin b,0.20063333333333333
99,Yaz,-0.03976203319502074
100,Jolessa,0.14332735849056605
101,Guaifenesin / pseudoephedrine,0.1538826815642458
102,Oxycodone,-0.21792872670807453
103,Nexplanon,-0.07793070539419086
104,Brisdelle,-0.10812413793103447
105,Beyaz,0.09293100775193798
106,Yasmin,-0.0875905172413793
107,Nucynta ER,-0.12376545454545458
108,Prozac,-0.13427516025641026
109,Kariva,-0.03267375000000001
110,Liraglutide,0.06585670910871694
111,Sutent,0.03048235294117647
112,Tramadol,-0.24153057996485064
113,Tylenol with Codeine #3,-0.3232936170212766
114,Magnesium citrate,0.13916121495327105
115,Depo-Provera,-0.16491454545454542
116,Drospirenone / ethinyl estradiol,-0.05441047297297297
117,Safyral,-0.15462033898305086
118,Desyrel,0.0910205882352941
119,Glyburide,0.21395714285714287
120,Aldesleukin,-0.8024
121,Desvenlafaxine,-0.017520628930817617
122,Phentermine / topiramate,0.0870248987854251
